abbreviation,replacement
aeronautic.,aeronautics
aeronautica.,aeronautical
aerop.,aerophysics
aerophys.,aerophysics
aeros.,aerospace
aerosp.,aerospace
aerospa.,aerospace
aerospat.,aerospatiale
aes.,aesthetic
aest.,aesthetic
aesth.,aesthetic
aesthet.,aesthetic
afd.,afdeling
afde.,afdeling
afdel.,afdeling
aff.,affiliated
affec.,affective
affect.,affective
affi.,affiliated
affil.,affiliated
affili.,affiliated
affiliat.,affiliated
affiliate.,affiliated
affl.,affliated
afr.,african
afric.,african
africa.,african
afrik.,afrikaans
afs.,afssa
aft.,after
aga.,against
agar.,agartala
agc.,agcenter
agda.,agdal
age-r.,age-related
age.,agency
agen.,agency
ager.,agere
agg.,aggeu
aggr.,aggregated
aggreg.,aggregated
agh-u.,agh-university
agh-univ.,agh-university
agh.,aghia
agi.,aging
aging-ass.,aging-associated
aging-asso.,aging-associated
aging-assoc.,aging-associated
aging-associ.,aging-associated
aging-associat.,aging-associated
agn.,agnes
agost.,agostino
agr.,agricultural
agra.,agraria
agrar.,agraria
agraria.,agrarias
agres.,agresearch
agri-environ.,agri-environment
agri-f.,agri-food
agri.,agricultural
agrib.,agribusiness
agribus.,agribusiness
agric.,agricultural
agricol.,agricoltura
agricola.,agricolas
agricole.,agricoles
agricu.,agricultural
agricul.,agricultural
agricult.,agricultural
agricultur.,agricultural
agricultura.,agricultural
agriculture-a.,agriculture-agricultural
agriculture-agr.,agriculture-agricultural
agriculture-agric.,agriculture-agricultural
agrik.,agrikulturchemischen
agrikult.,agrikulturchemischen
agrikulturchem.,agrikulturchemischen
agril.,agrilife
agrim.,agrimensura
agrisci.,agrisciences
agro-a.,agro-alimentari
agro-ali.,agro-alimentari
agro-alim.,agro-alimentari
agro-aliment.,agro-alimentari
agro-bio.,agro-bioresources
agro-biores.,agro-bioresources
agro-biotech.,agro-biotechnology
agro-biotechnol.,agro-biotechnology
agro-e.,agro-environmental
agro-eco.,agro-ecological
agro-ecol.,agro-ecological
agro-ecolo.,agro-ecological
agro-ecolog.,agro-ecological
agro-ecosys.,agro-ecosystems
agro-ecosyst.,agro-ecosystems
agro-env.,agro-environmental
agro-environ.,agro-environmental
agro-environm.,agro-environmental
agro-f.,agro-food
agro-for.,agro-forestali
agro-fore.,agro-forestali
agro-forest.,agro-forestali
agro-i.,agro-industry
agro-ind.,agro-industry
agro-indus.,agro-industry
agro-indust.,agro-industry
agro-p.,agro-products
agro-prod.,agro-products
agro.,agronomy
agroal.,agroalimentario
agroali.,agroalimentario
agroalim.,agroalimentario
agroalimen.,agroalimentario
agroaliment.,agroalimentario
agroalimentari.,agroalimentario
agroam.,agroambientali
agroamb.,agroambientali
agroambie.,agroambientali
agroambien.,agroambientali
agroambient.,agroambientali
agroambiental.,agroambientali
agrob.,agrobiological
agrobio.,agrobiological
agrobiol.,agrobiological
agrobiolog.,agrobiological
agrobiotech.,agrobiotechnology
agrobiotechn.,agrobiotechnology
agrobiotechnol.,agrobiotechnology
agrochem.,agrochemistry
agrochim.,agrochimica
agroec.,agroecology
agroeco.,agroecology
agroecol.,agroecology
agroecosyst.,agroecosystems
agroen.,agroenvironmental
agroenviron.,agroenvironmental
agrof.,agroforestry
agrofor.,agroforestry
agroforest.,agroforestry
agroforestal.,agroforestales
agroind.,agroindustrial
agroindus.,agroindustrial
agroindust.,agroindustrial
agroindustr.,agroindustrial
agroindustria.,agroindustrial
agrome.,agrometeorology
agromet.,agrometeorology
agrometeo.,agrometeorology
agrometeor.,agrometeorology
agrometeorol.,agrometeorology
agron.,agronomy
agrono.,agronomy
agronom.,agronomy
agronomica.,agronomical
agronomiq.,agronomique
agronomique.,agronomiques
agronómica.,agronómicas
agronômica.,agronômicas
agrop.,agropecuaria
agrope.,agropecuaria
agropec.,agropecuaria
agropecu.,agropecuaria
agropecuaria.,agropecuarias
agropecuária.,agropecuárias
agrophys.,agrophysics
agroq.,agroquimica
agroquim.,agroquimica
agros.,agroscope
agrosci.,agrosciences
agrot.,agrotechnology
agrotec.,agrotechnology
agrotech.,agrotechnology
agrotechn.,agrotechnology
agrotechnol.,agrotechnology
agrár.,agrárias
agrária.,agrárias
agríc.,agrícola
agrícola.,agrícolas
agrón.,agrónomos
agrónomo.,agrónomos
agua.,aguascalientes
aguas.,aguascalientes
agudo.,agudos
agustí.,agustín
aha.,ahar
ahe.,ahepa
ahmad.,ahmadu
aid.,aids
aie.,aier
aii.,aiims
aims.,aimst
ain.,aintree
air-c.,air-conditioning
air-cond.,air-conditioning
air.,aires
aire.,aires
airl.,airlangga
airwo.,airworthiness
ais.,aist
aix-en-p.,aix-en-provence
aix-m.,aix-marseille
aix-mars.,aix-marseille
aix-marse.,aix-marseille
aix.,aixtron
aka.,akademie
akad.,akademie
akade.,akademie
akadem.,akademie
akademi.,akademie
akademis.,akademiska
akd.,akdeniz
aker.,akershus
akt.,aktiengesellschaft
aktien.,aktiengesellschaft
aktieng.,aktiengesellschaft
aktienges.,aktiengesellschaft
aktiengesell.,aktiengesellschaft
aktiengesells.,aktiengesellschaft
aktiengesellsc.,aktiengesellschaft
aktiengesellsch.,aktiengesellschaft
aku.,akureyri
akure.,akureyri
akus.,akustik
akust.,akustik
akzo.,akzonobel
akzonobe.,akzonobel
al-a.,al-azhar
al-b.,al-balqa
al-f.,al-farabi
al-i.,al-imam
al-k.,al-kabeer
al-q.,al-qura
ala.,alabama
alab.,alabama
alabama-b.,alabama-birmingham
alam.,alamos
alan.,alanson
alb.,alberta
alba.,albany
albert-einstein-inst.,albert-einstein-institut
albert-l.,albert-ludwigs
albert-ludw.,albert-ludwigs
albert-ludwigs-u.,albert-ludwigs-university
albert-ludwigs-univ.,albert-ludwigs-university
albert.,alberta
albi.,albion
albrecht-von-haller-i.,albrecht-von-haller-institute
albrecht-von-haller-inst.,albrecht-von-haller-institute
albu.,albuquerque
alc.,alcohol
alco.,alcohol
alcoh.,alcohol
alcohol.,alcoholism
alcor.,alcorcon
ale.,alexandria
aleja.,alejandro
aleman.,alemana
aler.,alergia
alerg.,alergia
alergo.,alergologii
alergol.,alergologii
alergolog.,alergologii
alex.,alexandria
alexis-v.,alexis-vautrin
alf.,alfred
alfr.,alfred
alfred-wegener-inst.,alfred-wegener-institut
alfred.,alfredo
alg.,algarve
alge.,algebra
algeb.,algebra
algebra.,algebraic
algem.,algemene
alger.,algeria
algier.,algiers
algol.,algology
algolog.,algology
algor.,algorithms
algorit.,algorithms
algorith.,algorithms
ali.,alimentos
alicant.,alicante
alig.,aligarh
alim.,alimentos
alime.,alimentos
alimen.,alimentos
aliment.,alimentos
alimentaire.,alimentaires
alimentar.,alimentari
alimentari.,alimentaria
alimentat.,alimentation
alimentaz.,alimentazione
alk.,alkmaar
all-ind.,all-india
all-r.,all-russia
all-rus.,all-russia
all-russ.,all-russia
all-un.,all-union
all.,allergy
alle.,allergy
alleg.,allegheny
allegh.,allegheny
allen.,allende
aller.,allergy
allerg.,allergy
allergo.,allergology
allergol.,allergology
allergy-immunol.,allergy-immunology
allergy/i.,allergy/immunology
allergy/immun.,allergy/immunology
allergy/immunol.,allergy/immunology
allg.,allgemeine
allge.,allgemeine
allgem.,allgemeine
allgemein.,allgemeine
allgemeinchir.,allgemeinchirurgie
allgemeinchiru.,allgemeinchirurgie
allgemeinchirur.,allgemeinchirurgie
allgemeine.,allgemeines
allgemeinmed.,allgemeinmedizin
alli.,allied
allian.,alliance
allied.,alliedsignal
allog.,allogeneic
allogen.,allogeneic
allogene.,allogeneic
alm.,alma
almaz.,almazov
almir.,almirall
alp.,alpes
alt.,alto
alta.,altai
alte.,alternative
alter.,alternative
altern.,alternative
alterna.,alternative
alternat.,alternative
alternative.,alternatives
altit.,altitude
alto.,alton
alton.,altona
alu.,aluminum
alum.,aluminum
alumi.,aluminum
alz.,alzheimer
alza.,alzahra
alzh.,alzheimer
ama.,amazonas
amal.,amalia
amaz.,amazonas
amazon.,amazonas
amazonia.,amazonian
amb.,ambiente
ambi.,ambiente
ambie.,ambiente
ambien.,ambiente
ambient.,ambiente
ambiental.,ambientali
ambientale.,ambientales
ambiente.,ambientes
ambu.,ambulatory
ambul.,ambulatory
ambulan.,ambulance
ambulat.,ambulatory
ambulatoir.,ambulatoire
ambulator.,ambulatory
ame.,american
amed.,amedeo
ameij.,ameijeiras
amel.,amelioration
amelio.,amelioration
amelior.,amelioration
ameliorat.,amelioration
amer.,american
ameri.,american
americ.,american
america.,american
american.,americans
amg.,amgen
amin.,aminu
amm.,amman
amp.,amphia
amphib.,amphibian
ams.,amsterdam
amst.,amsterdam
amt.,amts
amts.,amtssygehus
amtssygeh.,amtssygehus
amtssygehus.,amtssygehuset
amélior.,amélioration
amér.,américas
américa.,américas
ana.,anatomy
anab.,anabilim
anabi.,anabilim
anabil.,anabilim
anad.,anadolu
anae.,anaesthesia
anaer.,anaerobic
anaerob.,anaerobic
anaerobi.,anaerobic
anaes.,anaesthesia
anaest.,anaesthesia
anaesth.,anaesthesia
anaesthe.,anaesthesia
anaesthes.,anaesthesia
anaesthesia/i.,anaesthesia/intensive
anaesthesia/int.,anaesthesia/intensive
anaesthesia/inten.,anaesthesia/intensive
anaesthesia/intens.,anaesthesia/intensive
anaesthesio.,anaesthesiology
anaesthesiol.,anaesthesiology
anaesthet.,anaesthetics
anaesthetic.,anaesthetics
anal.,analysis
analg.,analgesia
analges.,analgesia
anali.,analitica
analis.,analisi
analisi.,analisis
analit.,analitica
analy.,analysis
analys.,analysis
analyse.,analyses
analyst.,analysts
analyt.,analytical
analytic.,analytical
analytiq.,analytique
analytique.,analytiques
analytis.,analytische
analytisch.,analytische
analít.,analítica
anas.,anasthesiologie
anast.,anasthesiologie
anasth.,anasthesiologie
anasthe.,anasthesiologie
anasthes.,anasthesiologie
anasthesiol.,anasthesiologie
anat.,anatomy
anato.,anatomy
anatom.,anatomy
anatomic.,anatomical
anatomisch.,anatomisches
anatomopat.,anatomopathology
anatomopathol.,anatomopathology
anc.,ancona
anci.,ancient
and.,anderson
anda.,andaluz
andal.,andaluz
andalusia.,andalusian
andaluz.,andaluza
ander.,anderson
anders.,anderson
ando.,andong
andr.,andrews
andre.,andrews
andrea.,andreas
andri.,andrija
andro.,andrology
androl.,andrology
androlog.,andrology
andré.,andrés
andtech.,andtechnology
anes.,anesthesiology
anest.,anesthesiology
aneste.,anestesia
anestes.,anestesia
anestesiol.,anestesiologia
anestez.,anesteziyoloji
anesteziol.,anesteziologie
anesteziolog.,anesteziologie
anesteziy.,anesteziyoloji
anesteziyol.,anesteziyoloji
anestezj.,anestezjologii
anestezjol.,anestezjologii
anesth.,anesthesiology
anesthe.,anesthesiology
anesthes.,anesthesiology
anesthesia/c.,anesthesia/critical
anesthesia/crit.,anesthesia/critical
anesthesiol.,anesthesiology
anesthesiology/c.,anesthesiology/critical
anesthesiology/crit.,anesthesiology/critical
anesthet.,anesthetics
ang.,angeles
ange.,angeles
angeb.,angeborene
angebor.,angeborene
angel.,angeles
angew.,angewandte
angewa.,angewandte
angewan.,angewandte
angewand.,angewandte
angewandt.,angewandte
angi.,angiology
angio.,angiology
angiocardio.,angiocardiology
angiocardiol.,angiocardiology
angiogen.,angiogenesis
angiogene.,angiogenesis
angiogr.,angiography
angiograph.,angiography
angiol.,angiology
angiolog.,angiology
angl.,anglia
anglia.,anglian
ani.,animal
anim.,animal
anima.,animal
animai.,animais
animal.,animals
animale.,animales
animat.,animation
ank.,ankara
anl.,anlis
anlag.,anlagentechnik
anlagentech.,anlagentechnik
anlagentechn.,anlagentechnik
ann.,anna
anna.,annamalai
anne.,annenberg
annex.,annexe
ano.,anorganische
anom.,anomalies
anomal.,anomalies
anor.,anorganische
anorect.,anorectal
anorg.,anorganische
anorga.,anorganische
anorgan.,anorganische
anorganisch-c.,anorganisch-chemisches
anorganisch-chem.,anorganisch-chemisches
anorganisch.,anorganische
ans.,anschutz
ansa.,ansan
anst.,anstalt
ant.,anthropology
anta.,antarctic
antal.,antalya
antarc.,antarctic
antarct.,antarctic
ante.,antenna
anter.,anterior
anth.,anthropology
anthr.,anthropology
anthro.,anthropology
anthrop.,anthropology
anthropo.,anthropology
anthropol.,anthropology
anthropolog.,anthropology
anti-a.,anti-aging
anti-c.,anti-cancer
anti-canc.,anti-cancer
anti-i.,anti-infective
anti-infec.,anti-infective
anti-infect.,anti-infective
anti-inflam.,anti-inflammatory
anti-t.,anti-tuberculosis
anti-tuberc.,anti-tuberculosis
anti.,antioquia
antib.,antibiotics
antibio.,antibiotics
antibiot.,antibiotics
antic.,anticancer
anticanc.,anticancer
antim.,antimicrobial
antimic.,antimicrobial
antimicr.,antimicrobial
antimicro.,antimicrobial
antimicrob.,antimicrobial
antioq.,antioquia
antioxid.,antioxidant
antip.,antipolis
antiq.,antiquities
antiv.,antiviral
antivi.,antiviral
antivir.,antiviral
antoine-l.,antoine-lacassagne
anton.,antonio
antoni.,antonio
antr.,antropologia
antro.,antropologia
antrop.,antropologia
antropol.,antropologia
antropolog.,antropologia
antwerp.,antwerpen
antón.,antónio
anu.,anusandhan
anus.,anusandhan
anusan.,anusandhan
anusand.,anusandhan
anx.,anxiety
anz.,anzhen
anál.,análisis
anästh.,anästhesiologie
anästhesiol.,anästhesiologie
aos.,aosta
ap-h.,ap-hp
apar.,aparato
aparat.,aparato
aparel.,aparelho
aparelh.,aparelho
apart.,apartado
apartm.,apartment
apd.,apdo
aph.,aphp
api.,apiculture
apicultura.,apicultural
apl.,aplicada
apli.,aplicada
aplic.,aplicada
aplicac.,aplicaciones
aplicad.,aplicada
aplicada.,aplicadas
apo.,apollo
apot.,apotheke
apoth.,apotheke
apothek.,apotheke
app.,applied
appa.,appalachian
appal.,appalachian
appalach.,appalachian
appar.,apparatus
apparat.,apparatus
appeal.,appeals
appl.,applied
appli.,applied
applic.,applications
applica.,applications
applicat.,applications
application.,applications
applicaz.,applicazioni
appliq.,appliquee
appliqu.,appliquee
appliquee.,appliquees
appliquée.,appliquées
appr.,appraisal
appro.,approaches
approach.,approaches
approp.,appropriate
apt.,apta
aqu.,aquatic
aqua.,aquatic
aquac.,aquaculture
aquacul.,aquaculture
aquacult.,aquaculture
aquacultura.,aquacultural
aquaculture.,aquacultures
aquat.,aquatic
aquatique.,aquatiques
aquicul.,aquicultura
aquicult.,aquicultura
ara.,arab
arab.,arable
arabi.,arabian
arabia.,arabian
arag.,aragon
arago.,aragon
arar.,araraquara
araraqua.,araraquara
aras.,arastirma
arast.,arastirma
arasti.,arastirma
arastir.,arastirma
araş.,araştirma
araşt.,araştirma
arb.,arbor
arbe.,arbeitsgruppe
arbei.,arbeitsgruppe
arbeit.,arbeitsgruppe
arbeits.,arbeitsgruppe
arbeitsb.,arbeitsbereich
arbeitsbe.,arbeitsbereich
arbeitsber.,arbeitsbereich
arbeitsg.,arbeitsgruppe
arbeitsgem.,arbeitsgemeinschaft
arbeitsgemein.,arbeitsgemeinschaft
arbeitsgemeins.,arbeitsgemeinschaft
arbeitsgemeinsch.,arbeitsgemeinschaft
arbeitsgr.,arbeitsgruppe
arbeitsgrup.,arbeitsgruppe
arbeitsgrupp.,arbeitsgruppe
arbeitskr.,arbeitskreis
arbeitsm.,arbeitsmedizin
arbeitsmed.,arbeitsmedizin
arbeitsmediz.,arbeitsmedizin
arbeitsphys.,arbeitsphysiologie
arbeitsphysiol.,arbeitsphysiologie
arbeitss.,arbeitsschutz
arbeitssch.,arbeitsschutz
arbitrat.,arbitration
arbo.,arbor
arbor.,arboretum
arbovir.,arbovirus
arbuz.,arbuzov
arc.,architecture
arch.,architecture
archa.,archaeology
archae.,archaeology
archaeo.,archaeology
archaeol.,archaeology
archaeom.,archaeometry
archeo.,archeology
archeol.,archeology
archi.,architecture
archit.,architecture
architec.,architecture
architect.,architecture
architecture.,architectures
architekt.,architektur
architet.,architettura
archiv.,archives
arci.,arcispedale
arcis.,arcispedale
arcisp.,arcispedale
arcisped.,arcispedale
arct.,arctic
ard.,ardabili
arda.,ardabili
are.,area
area.,areas
arg.,argonne
arge.,argentina
argelander-inst.,argelander-institut
argen.,argentina
argent.,argentina
argentin.,argentina
argon.,argonne
arh.,arhus
ari.,arizona
arid.,arides
arist.,aristotle
aristot.,aristotle
aristotel.,aristotelian
ariz.,arizona
ark.,arkansas
arm.,army
armada.,armadas
armand-t.,armand-trousseau
armen.,armenia
armenia.,armenian
armor.,armored
arn.,arnold
arnau.,arnaud
arnaud-de-v.,arnaud-de-villeneuve
aro.,aromatic
arom.,aromatic
aroma.,aromatic
aromat.,aromatic
arq.,arquitectura
arqui.,arquitectura
arquit.,arquitectura
arquitec.,arquitectura
arquitect.,arquitectura
arr.,arrhythmia
arrh.,arrhythmia
arrhyth.,arrhythmia
arrhythm.,arrhythmia
arritm.,arritmias
ars-u.,ars-usda
ars.,arsenal
arsi.,arsizio
art.,arts
arte.,artes
arter.,arteriosclerosis
arteri.,arteriosclerosis
arterioscl.,arteriosclerosis
arterioscler.,arteriosclerosis
arterioscleros.,arteriosclerosis
arteriosclerosi.,arteriosclerosis
arth.,arthritis
arthr.,arthritis
arthri.,arthritis
arthrit.,arthritis
arthropl.,arthroplasty
arthrosc.,arthroscopy
arti.,artificial
artif.,artificial
artifi.,artificial
artific.,artificial
artificial.,artificiale
artill.,artillery
arz.,arzt
arznei.,arzneimittel
arzneim.,arzneimittel
arzneimit.,arzneimittel
arzneimitt.,arzneimittel
asa.,asan
asc.,ascr
ase.,aselsan
ash.,ashton
ashe.,asheville
ashta.,ashtar
asi.,asia
asia-p.,asia-pacific
asia-pac.,asia-pacific
asia.,asian
asist.,asistencial
asistenc.,asistencial
asistencia.,asistencial
ask.,asklepios
askl.,asklepios
aso.,asociada
asoc.,asociada
asociac.,asociacion
asociada.,asociadas
asp.,aspects
aspet.,aspetar
asr.,asrc
ass.,association
asse.,assessment
assem.,assembly
assemb.,assembly
asses.,assessment
assess.,assessment
assessm.,assessment
assessment.,assessments
asset.,assets
assi.,assistance
assim.,assimilation
assis.,assistance
assist.,assistance
asso.,association
assoc.,association
associ.,association
associa.,association
associat.,association
associate.,associates
association.,associations
associaz.,associazione
associe.,associee
associé.,associée
assu.,assurance
assur.,assurance
ast.,astronomy
asth.,asthma
astr.,astronomy
astra.,astrazeneca
astro-p.,astro-particle
astro.,astronomy
astrobiol.,astrobiology
astrodyn.,astrodynamics
astrodynam.,astrodynamics
astrof.,astrofisica
astrofi.,astrofisica
astrofis.,astrofisica
astrofís.,astrofísica
astrogeol.,astrogeology
astrom.,astromaterials
astromat.,astromaterials
astron.,astronomy
astronau.,astronautics
astronaut.,astronautics
astrono.,astronomy
astronom.,astronomy
astronomic.,astronomical
astronóm.,astronómico
astrop.,astrophysics
astropar.,astroparticle
astropart.,astroparticle
astroph.,astrophysics
astrophy.,astrophysics
astrophys.,astrophysics
astrophysik.,astrophysikalisches
astrophysikal.,astrophysikalisches
astur.,asturias
asy.,asylum
asym.,asymmetric
ata.,ataturk
atat.,ataturk
atel.,atelier
aten.,ateneo
atenc.,atencion
atenció.,atención
ath.,athens
athab.,athabasca
ather.,atherosclerosis
atheros.,atherosclerosis
atherosc.,atherosclerosis
atheroscl.,atherosclerosis
atheroscler.,atherosclerosis
atherosclero.,atherosclerosis
atheroscleros.,atherosclerosis
atherothrom.,atherothrombosis
atherothromb.,atherothrombosis
athl.,athletic
athlet.,athletic
atk.,atkinson
atl.,atlantic
atla.,atlantic
atlant.,atlantic
atm.,atmospheric
atmo.,atmospheric
atmos.,atmospheric
atmosf.,atmosfera
atmosfe.,atmosfera
atmosfer.,atmosfera
atmosférica.,atmosféricas
atmosp.,atmospheric
atmosph.,atmospheric
atmospher.,atmospheric
atmosphere.,atmospheres
atmosphérique.,atmosphériques
atmós.,atmósfera
ato.,atomic
atom.,atomic
atomic.,atomics
atominst.,atominstitut
atomique.,atomiques
atop.,atopy
atr.,atrium
ats.,atsugi
att.,attikon
atte.,attending
atten.,attending
atti.,attikon
attiv.,attive
atto.,attorney
atóm.,atómica
auck.,auckland
aud.,audiology
audi.,audiology
audio.,audiology
audiol.,audiology
audiolog.,audiology
audiov.,audiovisual
audiovis.,audiovisual
audit.,auditory
aue.,auezov
aug.,augsburg
augen.,augenklinik
augenabt.,augenabteilung
augenabtei.,augenabteilung
augenheil.,augenheilkunde
augenheilk.,augenheilkunde
augenheilkun.,augenheilkunde
augenkl.,augenklinik
augenklin.,augenklinik
august.,augusta
augusta.,augustana
augusti.,augustine
augustin.,augustine
aur.,aurora
aus.,australian
aust.,australian
austr.,australian
austra.,australian
austral.,australian
australa.,australasian
australasia.,australasian
australia.,australian
austria.,austrian
aut.,automation
auth.,authority
autho.,authority
author.,authority
authorit.,authority
auto-i.,auto-immunes
auto-imm.,auto-immunes
auto.,automation
autoim.,autoimmune
autoimm.,autoimmune
autoimmun.,autoimmune
autom.,automation
automa.,automation
automat.,automation
automatic.,automatics
automatisier.,automatisierungstechnik
automatisierungstech.,automatisierungstechnik
automatizat.,automatization
automo.,automotive
automob.,automobile
automot.,automotive
automát.,automática
auton.,autonomous
autono.,autonomous
autonom.,autonomous
autòn.,autònoma
autó.,autónoma
autón.,autónoma
aux.,auxologico
auxiliar.,auxiliary
auxol.,auxologico
ava.,avanzados
avad.,avadh
availab.,available
aval.,avalanche
avan.,avanzados
avanc.,avancats
avancée.,avancées
avanz.,avanzados
avanzad.,avanzados
avanzada.,avanzadas
avd.,avdeling
avdel.,avdeling
ave.,aveiro
aven.,avenue
aver.,avery
avia.,aviation
aviat.,aviation
avic.,avicenne
avicol.,avicoles
avion.,avionics
avoga.,avogadro
avogad.,avogadro
avon.,avondale
awar.,awareness
ayr.,ayrshire
ayu.,ayurveda
ayurved.,ayurveda
azarb.,azarbaijan
azc.,azcapotzalco
azer.,azerbaijan
azerb.,azerbaijan
azerbaid.,azerbaidzhan
azi.,azienda
azie.,azienda
azien.,azienda
azr.,azrieli
aérosp.,aérospatiales
aérospat.,aérospatiales
b-1.,b-1200
b-3.,b-3000
b-4.,b-4000
bab.,babol
baba.,babasaheb
babes-b.,babes-bolyai
bac.,bacteriology
bach.,bachelor
bact.,bacteriology
bacter.,bacteriology
bacteria.,bacterial
bacterio.,bacteriology
bacteriol.,bacteriology
bacteriolog.,bacteriology
bacteriologic.,bacteriological
bactério.,bactériologie
bactériol.,bactériologie
bactériologie-virol.,bactériologie-virologie
bad.,badji
bada.,badalona
badawcz.,badawczy
baden-w.,baden-wuerttemberg
baden-wuerttem.,baden-wuerttemberg
baden-württ.,baden-württemberg
badis.,badische
baer.,baerwald
bag.,baghdad
bah.,bahia
bahia.,bahiana
bai.,baikov
baja.,bajaj
bak.,baker
baker.,bakersfield
bakk.,bakken
bakt.,bakteriologie
bakter.,bakteriologie
bakteriol.,bakteriologie
bakteriolog.,bakteriologie
baku.,bakul
bal.,baltimore
bale.,balears
bali.,balikesir
ball.,ballarat
ballist.,ballistic
balt.,baltimore
bam.,bambino
bamb.,bambino
bambi.,bambino
ban.,bank
banan.,banana
bandw.,bandwidth
bang.,bangladesh
bangu.,bangui
bank.,banking
banyu.,banyuls
bapa.,bapatla
bapt.,baptist
bar.,barcelona
barba.,barbara
barc-e.,barc-east
barc-w.,barc-west
barc.,barcelona
barcelon.,barcelona
barcelona.,barcelonatech
bard.,bardin
bari.,bariloche
barm.,barmherzigen
barmh.,barmherzigen
barmher.,barmherzigen
barmherz.,barmherzigen
barmherzig.,barmherzigen
barn.,barnard
barna.,barnard
barnes-j.,barnes-jewish
barnes-jew.,barnes-jewish
barnet.,barnett
barr.,barrow
barreto.,barretos
bart.,barts
barth.,bartholin
barthol.,bartholin
bartholom.,bartholomew
baru.,baruch
bas.,basic
base.,basel
basel.,baselland
bashk.,bashkir
bashkort.,bashkortostan
basic.,basicas
basica.,basicas
basilic.,basilicata
bask.,baskent
basse-n.,basse-normandie
basse-normand.,basse-normandie
bat.,bath
bata.,bataillon
bati.,batiment
batim.,batiment
batt.,battelle
batter.,battery
bau.,bauman
bauelem.,bauelemente
bauhaus-univ.,bauhaus-university
bauing.,bauingenieurwesen
bauingen.,bauingenieurwesen
baum.,bauman
bauphys.,bauphysik
bauw.,bauwesen
bauwes.,bauwesen
bav.,bavarian
bavar.,bavarian
bay.,baylor
baye.,bayer
bayer.,bayerisches
bayeris.,bayerisches
