token,count
distance,4
education,220
(uned),4
webster,3
max-planck-inst.,49
physiol.,28
telecomunicacoes,1
fitzsimmons,1
fujisawa,4
eurospider,1
ag,117
limo,1
lissotschenko,1
mikrooptik,1
ritsumeikan,2
iuliu,4
hatieganu,1
cluj-napoca,4
hôtel-dieu,8
max-planck-institut,36
für,270
extraterrestrische,1
brunel,2
bolan,4
konstruktion,1
im,6
maschinenbau,2
infectious,53
diseases,117
m7641,1
petersburg,39
technol.,78
riken-bnl,1
microbiol.,23
establishm.,1
laboratorium,20
molekulare,10
usc/norris,2
compreh.,1
york,103
novara,2
hm,1
pharma,23
consultancy,6
liaohe,1
oilfield,11
brooklyn,11
coll.,82
cavale,5
blanche,7
chemie,69
biomedicine,16
automatic,13
seismological,4
pompeu,5
fabra,4
(upf),2
białystok,3
judge,4
diego,31
parks,9
wildl.,2
commn.,2
n.,40
terr.,1
ente,3
le,40
nuove,1
tecnologie,8
cellular,27
anatomy,24
abteilung,142
neurobiologie,5
klinikum,74
georg,9
leipzig,5
tecnológico,22
autónomo,2
vocational,26
landscape,9
architecture,33
2nd,25
chimie,46
organique,8
appliquée,7
physique,58
milieux,2
condensés,1
nebraska,11
h.,29
lee,7
moffitt,4
leonard,5
davis,27
bbn,2
solid-state,5
dep,46
j.s.s.,2
biotecnología,7
genómica,1
plantas,2
systèmes,5
intelligents,1
robotique,2
(isir),1
xj,2
atomic,33
energy,170
commission,33
cosmology,3
kanagawa,16
prefectural,62
museum,91
scientific-practical,1
pediatric,22
hematology,22
shangluo,1
ambiente,3
holy,4
cross,67
(autonomous),13
max,65
planck,59
evol.,2
anthropol.,6
gynaecology,21
emporia,1
huygens-kamerlingh,1
onnes,1
pedagogical,36
dragomanov,1
htwg,1
konstanz,4
kars,3
harakani,1
al-quds,2
open,17
mayo,21
clinic,117
hadassah,8
hebrew,9
quality,16
assurance,4
review,1
houghton,1
poultry,8
stat.,7
radiologická,1
synth.,6
chem./biol.,3
get/enst-bretagne,1
kinki,7
zayed,2
v.,26
museo,17
norsk,2
hydro’s,1
acad.,77
amsterdam,28
biophys.,15
mathematics,98
xiangya,5
second,78
south,118
metallurgy,30
diingegneria,1
civile,24
electronics,122
dokuz,14
eylul,10
finance,27
accounting,8
nucleare,13
john,38
smart,5
consulting,28
engineers,20
molek.,2
genet.,29
princess,14
grace,9
michael's,4
neu-ulm,1
catholic,50
brasília,8
ofprev.,1
izmir,8
bozyaka,1
vienna,33
vaccines,5
diagnostics,16
engineering/312,1
yu-da,1
gynecol.,23
evaluation,19
cardno,1
chemrisk,2
cosine,2
bv,11
hopkins,22
telenor,2
r,44
d,43
qualität,2
wirtschaftlichkeit,2
gesundheitswesen,2
(iqwig),1
claremont,3
graduate,152
sussex,11
karlsruhe,10
idaho,9
nevada,13
ocean,42
ericsson,13
hungary,1
laue,1
langevin,1
zoetis,2
garvan,1
lnm,1
cellularand,1
chair,2
jonas,1
žemaitis,1
lithuania,1
recherche,86
scientifique,17
l'université,7
montréal,19
(crchum),1
miami,13
veterans,87
affairs,66
boulder,3
community,52
special,10
süd-chemie,1
genetic,20
biotechnology,73
(icgeb),1
chicago,30
public,228
primary,25
environment,75
nutrit.,6
dis.,29
mitsubishi,23
kyoto,29
preventive/clinical,1
genoa,4
merck,23
selbstmedikation,1
zoology,18
universitari,17
mútua,1
terrassa,4
depto.,110
oceanografia,7
senri,1
kinran,1
alabama,23
nursing,47
benq,1
corporation,341
technology-guwahati,1
sadat,2
management,181
basic,16
alberdeen,1
washington,67
tri-cities,1
centralesupélec,1
dornier,1
toyama,13
john's,12
skin,14
building,31
bavarian,6
audie,3
murphy,3
va,54
charlottenburg,1
experimental,54
botany,20
as,15
cr,13
sahloul,4
src,3
rf,6
troitsk,1
innovation,75
tubitak-sage,1
ronald,2
reagan-ucla,1
degli,64
studi,73
bari,10
aldo,2
moro,2
allgemeines,6
krankenhaus,39
altona,2
maryland,24
baltimore,8
county,63
d'acoustique,1
du,91
(laum),1
ofengineering,1
trakya,3
ophthalmology,26
shaoxing,2
mongolian,4
pole,1
vinci,2
women's,53
portugal,1
université,341
moulay,5
ismail,3
juelich,1
lehrstuhl,6
biologische,4
roslin,3
montpellier,39
rostock,7
santa,58
clara,3
otolaryngology–,1
suwa,2
red,61
ulss,1
16,1
andalas,2
high,45
narayana,7
nethralaya,1
cristallographie,3
modelisation,3
materiaux,2
mineraux,2
biologiques,5
mediscan,1
saint,76
louis,50
bydgoszcz,6
oceanography,31
hellenic,12
disease,105
saratov,7
n.g.,1
chernyshevsky,1
resources,120
ymcaust,1
compaq,1
akad.,8
toronto,22
xavier-arnozan,1
financial,7
under,4
ppg,3
industries,51
schulthess,3
sir,13
p.,32
dun's,1
linguistics,13
english,14
ospedale,122
niguarda,2
ca’,1
granda,7
virginia,48
munich,15
pathology,101
environ.,36
occup.,7
hlth.,46
biologia,40
ambiental,3
bioscience,19
biodiversity,19
climate,17
(loewe,1
bik-f),1
selcuk,2
oncol.,17
damietta,4
lobachevsky,3
nizhni,5
novgorod,12
radiology,35
cultural,5
heritage,8
rwth,4
ángeles,1
lomas,1
sassari,4
footwear,1
leather,6
affiliated,146
tumor,18
harbin,9
space,130
cremona,2
karl-marx-universitat,1
cnr-ifac,1
meiji,5
brasileiro,6
pesquisas,13
fisicas,2
belorussian,6
utp,2
chiba,10
medicine.,18
oli,3
czech,52
american,118
optical,26
alexandra,9
robert,35
bosch,9
rapperswil,1
donetsk,3
immunology/rheumatology,2
policy,52
three,4
gorges,4
computer,158
moscow,67
arignar,3
govt.,12
arts,81
utrecht,18
genetics,106
astrazeneca,9
randd,8
södertälje,2
helmholtz,14
ufz,1
tetra,5
"tech,",3
inc,150
géosciences,1
statistics,33
geochemie,1
communication/info.,1
sci.,312
queens,5
college/cuny,1
gladstone,3
laboratories,155
parma,6
regulatory,4
wellcome,21
tropical,41
centrum,18
onkologii,4
ordzhonikidze,4
all-union,18
scientific-research,17
united,56
plastic,16
z,1
v,21
cecilio,1
bioengineering,7
(ibec),2
material,35
beam,4
(iws),1
panum,1
afssa,2
agence,3
fran&ccedil;aise,1
s&eacute;curit&eacute;,1
sanitaire,3
aliments,3
german,64
artificial,6
intelligence,14
(dfki),2
vétérinaire,15
d'alfort,1
devon,5
exeter,2
institution,33
física,31
aplicada,38
malabar,1
s.g.b.,1
amravati,2
statist.,4
plast.,7
reconstructive,14
inserm,15
u1032,1
neurology,44
ohio,31
wesleyan,8
mancha,4
organization,74
kochi,7
geomar,1
forschungszentrum,13
info.,21
psychiatric,32
section,33
orthopeadic,3
danderyd,3
aurora,5
sinai/aurora,1
luke's,14
centers,43
economics/business,1
economic,47
pubic,1
vilspa,1
s.s.,1
estadual,31
maringá/uem,1
poly-grames,1
département,38
clinique,30
mercy,20
centocor,3
development,213
schlumberger,8
(111c),1
c.s.i.c.,7
winthrop,5
"immunomedics,",1
brigham,9
women’s,15
onomichi,4
lausanne,15
(chuv),1
vista,4
otolaryngol.,6
head/neck,5
les,9
illes,3
balears,3
cincinnati,12
lf,6
mu,4
a,90
brně,2
sant'anna,2
tuskegee,1
cea-shfj,1
laser,33
addis,2
ababa,1
scottish,20
marine,114
dr.,74
y.,6
parmar,4
horticulture,26
forestry,58
valme,7
sgit-inia,1
interne,5
anhui,19
industry,49
charles,43
kralovske,1
vinohrady,3
adobe,1
"systems,",15
otolaryngology,9
head-neck,1
fr.,3
cirug.,1
acoustics,6
theoretische,17
iii,47
guangzhou,27
traditional,34
iwate,10
matsushita,4
components,5
co,50
seiwa,1
integrated,28
genomic,8
(cigmr),1
salerno,2
registry,24
sgrdimsr,1
informatique,8
toulouse,21
quantum,16
cardiac,14
lumhs,1
aged,2
emergency,23
trauma,5
geoanalysis,2
antonio,20
water,96
rabat,3
biol.,114
chem.,93
nervous,2
medicina,72
“pedro,1
kourí”,1
nitte,3
gulabi,1
shetty,1
alfréd,1
rényi,1
maisonneuve-rosemont,2
budo,1
ofsociology,1
changhua,3
christian,30
psoriasis,2
eczema,1
adolescent,7
(e1),1
uk/faculty,1
epidemiol.,12
pub.,13
occupational,28
sannio,1
piemonte,16
orientale,16
mennonite,2
kunming,18
carnegie,12
observatories,6
"gensia,",1
slovak,21
xi'an,40
posts,10
telecommunications,24
early,4
warning,2
whipple,2
weierstrass,3
berlin,43
facnlty,1
obstetrics/gynecology,8
electrical/computer,2
wenzhou,13
jersey,29
mental,61
shizuoka,12
instytut,23
psychiatrii,4
neurologii,2
(ii),2
microchip,1
hangzhou,12
nantong,5
"sociology,",2
entry,1
"school,",5
limerick,2
peyton,1
manning,1
vincent,13
cytokinetics,1
facility,14
mathmatics,2
françois,4
baclesse,1
italian,12
council,103
ship,9
namibia,2
leeds,5
(ecust),1
missouri,28
columbia,45
ukrainian,33
printing,6
mebios-biosensors,1
geofisica,10
sperimentale,15
(ogs),1
ruder,1
bošković,4
thorac.cardiovasc.,1
southeastern,9
dyal,2
singh,11
uludag,3
357470,1
meteorological,17
inst,174
transport,25
guangdong,35
polytechnic,108
groningen,13
oklahoma,26
kure,6
kyosai,6
safety,54
dankook,3
obstet.,38
haifa,4
maggiore,13
crema,2
birch,1
hill,25
juiz,4
fora,3
(ufjf,1
hematological,2
lilly,7
departmentof,50
dohgo,1
human,94
neurologische,7
hebei,23
(iscte-iul),3
irec,2
(csic-uclm-jccm),2
oxford,32
unit,85
theoretical,40
paläontologisches,1
zürich,13
kafkas,3
skobeltsyn,1
rights,5
nasu,4
itm,4
harran,4
philadelphia,20
hand,5
lenzing,1
ing.,12
quimica-bioquimica,1
vermont/fletcher,1
allen,2
sdi,3
eftimie,1
murgu,1
pontifical,9
biblical,1
epidemiology,44
biostatistics,20
kasumigaura,2
celgene,1
elizabeth,17
glaser,1
aids,13
dassault,1
aviation,30
boehringer,12
ingelheim,12
mguié,1
natl,29
111-i,1
medtronic,5
italia,4
imdea,5
dow,15
(duhs),1
simón,5
bolivar,3
pharmacologie,10
preclinical,2
astronaut,2
eastern,41
heart,92
rech.,16
clin.,51
bernstein,4
kunststoffverarbeitung,1
(ikv),1
agronomico,4
mediterraneo,4
ash,1
stevens,3
gral.,2
martín,5
tayside,2
plata,15
(unlp),3
presbyterian,11
mahasarakham,1
jiangsu,45
key,148
precision,7
micro-manufacturing,1
astrophysics,15
universita,41
trieste,15
"medical,",1
"agricultural,",1
entomology,11
osaka,48
gas,26
nicolle,6
electrodynamics,5
rajiv,7
gandhi,22
da-yeh,1
aeronautical,21
fakultní,4
nemocnice,8
plzeň,1
"biological,",1
rural,33
midland,4
neurosurg.,5
neurol.,15
states,24
polish,47
freese,1
nichols,2
palmetto,1
retina,5
michael,10
reese,2
chir.,22
abt.,70
dpto.,23
ingegneria,9
aerospaziale,1
kalinga,2
uzhhorod,1
bhra,1
sect.,5
adult,3
oncology,104
sacro,4
cuore,6
don,10
calabria,11
ofmedicine,3
ca-2121,1
fornaroli,1
european,63
west,65
hospitalar,15
do,173
porto,22
thoraciccardiovascular,1
tianjin,51
light,17
kitasato,9
coruna,3
cryptoexperts,1
jsi,1
mat.,45
eli-hu,1
non-profit,2
strategies,2
côte-basque,1
solid,36
shri,11
b.m.,1
patil,7
mckinsey,2
inter-university,7
hong,23
kong,22
shenzhen,13
bank,24
poland,2
kinderspital,5
basel,26
kingston,6
lowy,1
kathmandu,2
politechnica,2
timisoara,5
anesthesiology/critical,1
onera,6
toita,1
a.,47
az.s.s.r.,1
superior,48
tecnologías,1
aplicadas,2
sant,10
déu,4
barcelona,32
effat,1
thales,14
france,14
fukui-ken,1
saiseikai,14
mosaiques,1
computing,55
statistique,3
théorique,5
mexico,36
pellegrin-tondu,1
-hd.,1
neck,25
malcolm,4
"pirnie,",2
white,11
plains,5
alcan,4
cornell,21
sri,31
guru,15
ram,6
das,8
sveučilište,1
zadru,1
republic,46
amazônia,4
–,12
inpa,2
yokohama,15
ruhr-universität,2
bochum,17
investigación,45
estudios,26
avanzados,13
i.p.n.,2
swire,1
microbiologie/immunologie,1
d'anesthesie-reanimation,4
areva,6
kepri,1
svs,2
unmc,1
woods,3
hole,3
leibniz,37
supercomputing,4
monsall,1
u.s.t.h.b.,1
nagoya,29
munic.,3
biol./environ.,2
bashkir,4
peac,1
multiscale,1
insurance,13
saitama,16
teknon,1
antananarivo,1
promos,1
andronikashvili,1
james,15
solove,1
heze,1
municipal,60
ncaur,1
bahrain,4
diderot,5
kayser-threde,1
omsk,2
f.m.,1
dostoevsky,1
"cell,",1
"developmental,",1
integrative,17
resource,23
melbourne,21
bioinformatics,10
pontifícia,7
católica,33
jenks,1
partnership,6
lsu,9
health-shreveport,1
invest.,17
recurs.,1
cineget.,1
fujitsu,2
gerencia,1
regional,96
salud,29
castilla,4
león,8
stuart,2
grave,1
chile,21
huamin,1
jinan,11
galderma,1
nac.,28
'marques,3
valdecilla',3
asahikawa,7
herzzent.,2
foreign,9
office,51
cic,4
tu,13
kosice,2
chu,130
bordeaux,14
(jst),1
faculdade,30
abc,7
alzheimer's,4
drug,47
discovery,11
fortaleza,1
(unifor),1
peoples,4
"society,",1
bangalore,10
asociación,2
para,5
fusión,2
sociology,13
anthropology,15
visteon,2
automotive,13
physikalisches,16
sagamihara,2
changsha,6
esk,3
civ.,13
engrg.,7
milton,6
keynes,3
intl.,27
cooperation,2
agency,100
d'immunologie,5
fabre,3
okinawa,3
nippon,40
chiba-hokusoh,1
marwadi,1
bartholomew's,4
kanti,1
tohwa,1
pancanadian,2
ltd,131
curie,13
skłodowska,1
tufts,8
jundiai,1
cardiology,52
“ignacio,1
chávez”,1
basque,5
competitiveness,2
curie-sklodowska,2
shimizu,4
shaare,2
zedek,3
swietokrzyskie,1
kardiologii,8
biozentrum,5
swed.,5
equine,5
england,31
journal,4
biochem.,47
shell,26
explor.,2
vulcanologia,4
chu-brugmann,1
amrdec,1
purdue,17
montana,9
services,88
orl,5
livestock,8
fattouma,3
bourguiba,4
psychol.,7
restorative,1
"sciences,",8
crystal,4
growth,6
healthcare,66
umr,130
1091,2
egc,1
quebec,18
rimouski,4
matunga,1
lawrence,15
berkeley,15
tecnología,11
química,18
curtin,5
alrijne,1
shenyang,19
daikin,2
"industries,",13
chester,6
gynecological,2
endocrinology,21
fertility,6
disorders,11
pasteur,32
edinburgh,15
agronomique,13
targeting,1
diagnosis,7
critical,5
lister,2
prev.,15
meijo,2
bellarmine,1
aerohydrodynamic,1
(tsagi),1
glaxosmithkline,4
pharmaceuticals,37
swiss,34
southwestern,13
lusófona,1
verterinary,2
mount,28
sinai,17
anesthesiology,11
yasuj,1
xerox,5
palo,12
alto,15
gynécologie,2
icrf,1
d'economique,3
dodoma,1
científica,8
educación,8
freudenberg,1
forschungsdienste,1
malekashtar,1
saving,3
newborn,2
lives,2
neville,1
hall,10
paul,21
broca,3
l'inserm,1
petrochina,12
southwest,27
oil,40
field,15
green,9
fine,17
morphology,2
lafarge,2
huaian,1
universitário,21
king's,7
fund,10
forensic,16
dequimica,3
organica,6
apollo,3
b.,34
bilecik,3
seyh,2
edebali,3
boca,2
río,7
elettrica,1
ed,4
elettronica,3
(ivtan),1
immunol.,16
cawthron,1
view,3
activx,2
"biosciences,",2
primate,14
resarch,3
cel.,6
bioquimica/bioloxia,1
undergraduate,3
informatics,29
mathematical,48
hradec,3
králové,3
ao/asif,1
l'aquila,2
consiglio,20
ricerca,10
sperimentazione,1
agricoltura,2
cabot,4
hexal,1
account.,1
quim.,17
cie.,14
roma,15
tre,4
agro-environment,1
ta,4
byelorussian,2
hematologic,3
malignancies,1
interna,10
misc,1
industrial,131
leibniz-zentrum,1
medizin,19
biowissenschaften,2
dallas,7
eaton,3
global,53
work,12
employment,6
química,30
gf,1
strong,2
rehab,2
hacettepe,5
universiteit,23
leiden,11
thomayerova,2
educational,31
western,81
greece,5
iizuka,2
freshwater,11
ecology,50
inland,5
fisheries,69
infirm.,3
punjab,6
reanimatology,1
robert-debre,2
infirmary,24
bihar,1
calcutta,7
yonsei,8
proteome,2
francis,13
xavier,6
halle,4
u.s.s.r.,7
zaragoza,7
daegu,6
yaroslavl,4
kentucky,16
mech.,29
engn.,4
tno,7
obafemi,1
awolowo,1
polytechnique,34
fédérale,5
ann,7
arbor,6
south-west,2
'neofit,1
rilski',1
genocide,1
lewisham,3
dryland,4
(dari),1
c.h.u.,8
trousseau,7
wilmersdorf,1
ieee,3
spectrum,4
genedata,1
kibernetiki,1
im.,15
v.m.,1
glushkova,1
soil,53
sci,22
biomedical,88
gesis,1
university-montreal,1
algiers,1
kagawa,8
cnrs,72
upr,7
2147,1
vodafone,1
ricerche,33
g.,45
donegani,3
kyiv,6
pharmaceuticalsciences,1
wuhan,28
ticomán,1
electrical,142
(eee),2
saraswathi,2
narayanan,1
esic,2
aichi,13
shahid,13
universiti,30
malaysia,43
perlis,6
(unimap,1
nutrition/food,4
kerala,4
kariavattom,1
rg-26,1
exploration,25
mission,9
to,33
nepal,3
oran,1
madurai,2
sabatier,2
bourgogne,8
franche-comté,7
hormozgan,2
ústav,6
aplikované,1
farmacie,3
nottinghamshire,1
letourneau,1
photonic,6
e.v.,16
wisconsin,52
milwaukee,5
eulji,8
humangenetik,1
s.-ctrl.,1
nationalities,12
gorki,1
antica,2
sede,2
ira-inaf,1
gifu,13
tribologie,1
dynamique,2
sports,26
fortum,2
oy,11
techn.,1
hochschule,58
family,28
piedmont,5
cirugia,1
pediatrica,3
mechaniki,2
precyzyjnej,2
all-russia,9
mineral,29
world,29
nakornping,1
ponce,2
vincent's,18
puerto,12
rico-río,1
piedras,2
latvian,9
ssr,14
art,19
design,72
monash,11
za,11
medicinska,1
istrazivanja,1
lipid,1
instruments,26
nanoscience,7
authority,48
remote,15
sensing,16
toyota,14
r&d,11
labs.,18
culverhouse,2
commerce,12
geological,51
survey,43
mother,8
child,41
province,42
manchester,28
karl,2
franzens,1
graz,21
kit's,1
universitätsklinikum,22
seashore,1
house,11
hindu,8
theagenion,2
collegium,8
medicum,7
ludwika,1
rydygiera,1
merz,4
geburtshilflich-gynäkologische,1
universitätsklinik,37
neurologic,4
icar-directorate,2
groundnut,2
promedica,1
emgo+,2
miti,2
aarp,1
(cifor),1
sibelius,1
inrs-océanologie,1
dartington,1
kyocera,1
klinisk,3
mikrobiologisk,2
afdeling,17
hoffmann-la,7
roche,25
buriram,1
rajabhat,12
usphs,3
biosystems,7
model,10
manage,7
bioresponses,6
lutheran,6
beijing,120
pppl,1
scotia,8
politecnica,8
catalunya,10
asahi,9
seoul,19
government-seoul,1
boramae,2
eps,1
erasme,7
all-russian,6
bc's,1
oki,4
uc,14
alba-cells,1
taiwan,24
semiconductor,41
manufacturing,36
ludwig,7
boltzmann,6
operative,2
laparoscopy,1
philippines,7
los,35
baños,2
vit,2
m.s.,4
deptt.,5
sidi,6
mohamed,8
ben,11
